Index,Temp 1,Temp 2,Temp 3,Humidity 1,Humidity 2,Humidity 3,CO2 1,CO2 2,CO2 3,Main Light,POT Light 1,POT Light 2,POT Light 3
#,8:00 AM,4:00 PM,12:00 PM,8:00 AM,4:00 PM,12:00 PM,8:00 AM,4:00 PM,12:00 PM,"[0-24,0-100]","[0-24,0-100]","[0-24,0-100]","[0-24,0-100]"
126,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
127,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
128,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
129,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
130,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
131,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
132,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
133,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
134,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
135,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
136,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
137,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
138,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
139,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
140,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
141,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
142,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
143,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
144,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
145,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
146,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
147,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
148,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
149,25,15,15,60,30,30,50,50,50,"0,12","0,0","0,0","0,0"
150,25,15,15,60,30,30,50,50,50,"0,0","0,0","0,0","0,0"
